subset,model,seed,n,accuracy,macro_precision,macro_recall,macro_f1,roc_auc,average_precision
all,qmf2023_adapted_seed42,42,15044,0.8969024195692635,0.8933517296527762,0.8966642868115399,0.8948075454674222,0.9622437315432852,0.946748758682375
non_augmented,qmf2023_adapted_seed42,42,13307,0.8880288569925603,0.8736269048849274,0.8835356395100593,0.878092960515789,0.95489295778342,0.9141449627007298
all,qmf2023_adapted_seed43,43,15044,0.8967694762031375,0.8932050124834372,0.8965704619423962,0.8946799573685962,0.9621871649281626,0.9466764991260672
non_augmented,qmf2023_adapted_seed43,43,13307,0.8878034117381829,0.8733631598078564,0.8833630868815076,0.8778646202137841,0.9548308527989203,0.9140649013505722
all,qmf2023_adapted_seed44,44,15044,0.8968359478862005,0.893275440251913,0.8966279794852468,0.8947457632130936,0.962268238309299,0.946839407924967
non_augmented,qmf2023_adapted_seed44,44,13307,0.8879537085744345,0.8735247161685296,0.8835289702674444,0.8780282309033839,0.9549132522263677,0.9142575189702882
