subset,family,count,mean,std,min,max
all_clean,feature_concat,3,0.8965204649775869,0.0007433957290883629,0.8958901010661691,0.897340244014553
all_clean,full_mlp,3,0.8978123444355252,0.000867056648174682,0.896826386326768,0.8984559959391968
all_clean,healnet2024,3,0.8956497518186715,0.0020104144491457,0.8934397795280188,0.8973701915473363
all_clean,text_mlp,3,0.8972382616485599,0.00040533723560081595,0.896770475572221,0.8974855865388776
non_augmented,feature_concat,3,0.8837720496613614,0.0019421700167583816,0.8824952212793811,0.8860071185852925
non_augmented,full_mlp,3,0.8832952775112265,0.0011087633275036419,0.8820751839014873,0.8842413076550016
non_augmented,healnet2024,3,0.8830429754877901,0.002173813032578953,0.8805584963296367,0.8845950304718041
non_augmented,text_mlp,3,0.882428956558376,0.0004536894963053589,0.8819206413320899,0.8827928679054058
platform_facebook,feature_concat,3,0.7616509042655543,0.00437636921107802,0.7576499388004896,0.7663247395715777
platform_facebook,full_mlp,3,0.7505097168350722,0.013738384969868107,0.7382234527774434,0.765343591536982
platform_facebook,healnet2024,3,0.7461725856518067,0.00044058836990932263,0.7456806286277695,0.7465308220213441
platform_facebook,text_mlp,3,0.7496577061598266,0.0007327628299535171,0.7490467188765866,0.7504701142614403
platform_instagram,feature_concat,3,0.9174323009033477,0.0014467479086929134,0.9157826357114613,0.9184852410995944
platform_instagram,full_mlp,3,0.9237661971205379,0.0033310167100974557,0.9199912980624154,0.9262926107711962
platform_instagram,healnet2024,3,0.9209902295225123,0.0056810079877983016,0.9160150968904912,0.9271804831366588
platform_instagram,text_mlp,3,0.9200614854022846,0.0012380567600637645,0.9189218718483158,0.9213787848226092
platform_twitter,feature_concat,3,0.8373032293522432,0.0019404025608117028,0.8351648539923381,0.838951791879007
platform_twitter,full_mlp,3,0.832218040869006,0.0052032804344477705,0.8274905279631002,0.8377930421853845
platform_twitter,healnet2024,3,0.8357966406192189,0.008518101019880982,0.8260081915563957,0.8415261756876664
platform_twitter,text_mlp,3,0.8277921410868189,0.0019433293157958766,0.8256355874035637,0.8294075268448318
platform_youtube,feature_concat,3,0.9038012026705137,0.0007163021017807228,0.9032890549913406,0.904619741857525
platform_youtube,full_mlp,3,0.9058652035659484,0.0004321667542366414,0.905377312508622,0.9061999226623674
platform_youtube,healnet2024,3,0.9031635496149746,0.0016453282829822797,0.9013054439917434,0.9044356589503129
platform_youtube,text_mlp,3,0.9059729117871408,0.00038028637655583797,0.9056331742081625,0.9063837193889173
speech_real,feature_concat,3,0.813295386856789,0.005579320588701716,0.8069221967963387,0.8172978584533788
speech_real,full_mlp,3,0.845656582019808,0.0040221287902238705,0.8425925925925926,0.8502112405581872
speech_real,healnet2024,3,0.8309755274797558,0.027614919995267957,0.8121780478140272,0.8626806537301337
speech_real,text_mlp,3,0.8490398809387975,0.0036224774248557906,0.845050082485777,0.8521226560414057
visual_real,feature_concat,3,0.9449641701233586,0.004661192058566177,0.941449122443404,0.950251572327044
visual_real,full_mlp,3,0.9443121233367737,0.002717067682174913,0.941354830795555,0.9466981132075472
visual_real,healnet2024,3,0.935978163079036,0.003789164350158887,0.9321462884304207,0.9397231217210131
visual_real,text_mlp,3,0.9460939165190366,0.002031227311855746,0.9449090834746123,0.9484393340067531
